Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
CAN,202004,0,0,0,0,2,2
CAN,202008,0,0,0,0,2,2
CAN,202009,0,0,0,0,2,2
CAN,202010,0,0,0,0,20,20
CAN,202011,0,0,0,0,153,153
CAN,202012,0,0,0,0,490,490
CAN,202013,0,0,0,0,1184,1184
CAN,202014,0,0,0,0,837,837
CAN,202015,1,0,0,0,577,578
CAN,202016,0,0,0,0,491,491
CAN,202017,0,0,0,0,293,293
CAN,202018,0,0,0,0,300,300
CAN,202019,0,0,0,0,261,261
CAN,202020,4,0,0,0,261,265
CAN,202021,3,0,0,0,191,194
CAN,202022,0,0,0,0,91,91
CAN,202023,1,0,0,0,67,68
CAN,202024,0,0,0,0,67,67
CAN,202025,0,0,0,0,106,106
CAN,202026,0,0,0,0,24,24
CAN,202027,0,0,0,0,30,30
CAN,202028,1,0,0,0,48,49
CAN,202029,0,0,0,0,54,54
CAN,202030,0,0,0,0,65,65
CAN,202031,0,0,0,0,74,74
CAN,202032,0,0,0,0,186,186
CAN,202033,0,0,0,0,80,80
CAN,202034,0,0,0,0,60,60
CAN,202035,0,0,0,0,101,101
CAN,202036,0,0,0,0,102,102
CAN,202037,0,0,0,0,56,56
CAN,202038,0,0,0,0,70,70
CAN,202039,0,0,0,0,107,107
CAN,202040,0,0,0,0,128,128
CAN,202041,0,0,0,0,359,359
CAN,202042,0,0,0,0,326,326
CAN,202043,0,0,0,0,168,168
CAN,202044,0,0,1,0,125,126
CAN,202045,1,0,0,0,198,199
CAN,202046,0,0,0,0,384,384
CAN,202047,0,0,0,0,258,258
CAN,202048,0,0,0,0,320,320
CAN,202049,0,0,0,0,334,334
CAN,202050,0,0,0,0,439,439
CAN,202051,1,0,0,0,609,610
CAN,202052,0,1,0,0,569,570
CAN,202053,2,0,1,0,907,910
CAN,202101,2,16,0,0,1239,1257
CAN,202102,4,15,0,0,1452,1471
CAN,202103,12,5,0,0,1200,1217
CAN,202104,17,3,1,0,844,865
CAN,202105,22,8,0,0,631,661
CAN,202106,112,38,1,0,680,831
CAN,202107,173,24,0,0,527,724
CAN,202108,228,31,0,0,599,858
CAN,202109,156,25,0,0,486,667
CAN,202110,664,13,0,0,611,1288
CAN,202111,868,12,0,0,308,1188
CAN,202112,1374,6,0,0,301,1681
CAN,202113,944,53,0,0,409,1406
CAN,202114,1048,45,2,0,513,1608
CAN,202115,1511,61,2,0,565,2139
CAN,202116,1598,47,11,0,557,2213
CAN,202117,1309,63,28,0,452,1852
CAN,202118,1092,15,28,0,300,1435
CAN,202119,962,3,105,0,258,1328
CAN,202120,784,13,142,0,241,1180
CAN,202121,708,7,122,0,109,946
CAN,202122,577,19,137,0,190,923
CAN,202123,422,7,217,0,131,777
CAN,202124,317,7,260,0,87,671
CAN,202125,224,0,272,0,62,558
CAN,202126,139,0,229,0,32,400
CAN,202127,77,0,229,0,13,319
CAN,202128,116,0,258,0,19,393
CAN,202129,108,0,336,0,11,455
CAN,202130,115,0,513,0,15,643
CAN,202131,163,0,918,0,21,1102
CAN,202132,109,0,1597,0,16,1722
CAN,202133,76,0,2010,0,7,2093
CAN,202134,27,0,1661,0,10,1698
CAN,202135,42,0,1339,0,11,1392
CAN,202136,29,0,975,0,0,1004
CAN,202137,9,0,1746,0,4,1759
CAN,202138,3,0,2292,0,0,2295
CAN,202139,2,0,2993,0,1,2996
CAN,202140,1,0,4108,0,2,4111
CAN,202141,2,0,3020,0,1,3023
CAN,202142,0,0,2969,0,0,2969
CAN,202143,0,0,2337,0,0,2337
CAN,202144,0,0,3319,0,1,3320
CAN,202145,0,0,2230,1,1,2232
CAN,202146,0,0,2603,0,0,2603
CAN,202147,0,0,2507,15,4,2526
CAN,202148,0,0,5123,97,2,5222
CAN,202149,0,0,3919,1296,4,5219
CAN,202150,0,0,2489,3209,1,5699
CAN,202151,0,0,775,4779,1,5555
CAN,202152,0,0,146,2362,0,2508
CAN,202201,0,0,34,1052,0,1086
CAN,202202,0,0,7,288,0,295
