Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
COL,202010,0,0,0,0,1,1
COL,202011,0,0,0,0,19,19
COL,202012,0,0,0,0,23,23
COL,202013,0,0,0,0,25,25
COL,202014,0,0,0,0,72,72
COL,202015,0,0,0,0,13,13
COL,202016,0,0,0,0,17,17
COL,202017,0,0,0,0,16,16
COL,202018,0,0,0,0,30,30
COL,202019,0,0,0,0,54,54
COL,202020,0,0,0,0,1,1
COL,202021,0,0,0,0,1,1
COL,202022,0,0,0,0,3,3
COL,202023,0,0,0,0,5,5
COL,202024,0,0,0,0,3,3
COL,202025,0,0,0,0,11,11
COL,202026,0,0,0,0,19,19
COL,202027,0,0,0,0,7,7
COL,202028,0,0,0,0,17,17
COL,202029,0,0,0,0,12,12
COL,202030,0,0,0,0,5,5
COL,202031,0,0,0,0,4,4
COL,202032,0,0,0,0,18,18
COL,202033,0,0,0,0,2,2
COL,202034,0,0,0,0,4,4
COL,202035,0,0,0,0,1,1
COL,202036,0,0,0,0,1,1
COL,202037,0,0,0,0,12,12
COL,202038,0,0,0,0,2,2
COL,202039,0,0,0,0,4,4
COL,202040,0,0,0,0,1,1
COL,202041,0,0,0,0,19,19
COL,202042,0,0,0,0,2,2
COL,202043,0,0,0,0,6,6
COL,202044,0,0,0,0,4,4
COL,202045,0,0,0,0,3,3
COL,202046,0,0,0,0,4,4
COL,202047,0,0,0,0,5,5
COL,202048,0,0,0,0,5,5
COL,202049,0,0,0,0,8,8
COL,202050,0,0,1,0,5,6
COL,202051,0,0,0,0,22,22
COL,202052,0,0,0,0,23,23
COL,202053,0,0,1,0,57,58
COL,202101,0,0,0,0,40,40
COL,202102,0,0,0,0,43,43
COL,202103,0,0,0,0,41,41
COL,202104,0,0,0,0,18,18
COL,202105,0,0,0,0,9,9
COL,202106,0,0,1,0,11,12
COL,202107,2,0,1,0,11,14
COL,202108,1,0,0,0,19,20
COL,202109,1,0,0,0,47,48
COL,202110,1,0,0,0,45,46
COL,202111,2,0,0,0,32,34
COL,202112,8,0,0,0,51,59
COL,202113,7,0,0,0,81,88
COL,202114,35,0,0,0,430,465
COL,202115,45,0,0,0,281,326
COL,202116,10,0,0,0,201,211
COL,202117,5,0,0,0,208,213
COL,202118,5,0,0,0,161,166
COL,202119,1,0,1,0,166,168
COL,202120,3,0,1,0,121,125
COL,202121,2,0,0,0,70,72
COL,202122,0,0,1,0,105,106
COL,202123,0,0,1,0,153,154
COL,202124,0,0,0,0,102,102
COL,202125,0,0,4,0,120,124
COL,202126,0,0,3,0,218,221
COL,202127,1,0,7,0,219,227
COL,202128,0,0,32,0,452,484
COL,202129,0,0,26,0,427,453
COL,202130,1,0,30,0,372,403
COL,202131,1,0,84,0,514,599
COL,202132,1,0,79,0,319,399
COL,202133,1,0,140,0,273,414
COL,202134,1,0,135,0,214,350
COL,202135,0,0,93,0,114,207
COL,202136,0,0,121,0,77,198
COL,202137,0,0,177,0,117,294
COL,202138,0,0,282,0,138,420
COL,202139,0,0,335,0,118,453
COL,202140,1,0,371,0,82,454
COL,202141,0,0,330,0,59,389
COL,202142,0,0,283,0,52,335
COL,202143,0,0,289,0,38,327
COL,202144,0,0,342,0,32,374
COL,202145,0,0,288,0,36,324
COL,202146,0,0,237,0,20,257
COL,202147,0,0,171,0,17,188
COL,202148,0,0,179,1,18,198
COL,202149,0,0,131,8,16,155
COL,202150,0,0,106,50,29,185
COL,202151,0,0,37,157,12,206
COL,202152,0,0,20,237,7,264
COL,202201,0,0,16,380,16,412
COL,202202,0,0,10,123,23,156
COL,202203,0,0,1,40,19,60
COL,202204,0,0,0,11,2,13
