Country,Week,Gender,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
COL,202010,Female,0,0,0,0,0,1,1
COL,202011,Female,0,0,0,0,0,6,6
COL,202011,Male,0,0,0,0,0,13,13
COL,202012,Female,0,0,0,0,0,10,10
COL,202012,Male,0,0,0,0,0,13,13
COL,202013,Female,0,0,0,0,0,11,11
COL,202013,Male,0,0,0,0,0,14,14
COL,202014,Female,0,0,0,0,0,31,31
COL,202014,Male,0,0,0,0,0,41,41
COL,202015,Female,0,0,0,0,0,5,5
COL,202015,Male,0,0,0,0,0,8,8
COL,202016,Female,0,0,0,0,0,4,4
COL,202016,Male,0,0,0,0,0,14,14
COL,202017,Female,0,0,0,0,0,7,7
COL,202017,Male,0,0,0,0,0,9,9
COL,202018,Female,0,0,0,0,0,15,15
COL,202018,Male,0,0,0,0,0,15,15
COL,202019,Female,0,0,0,0,0,24,24
COL,202019,Male,0,0,0,0,0,29,29
COL,202020,Female,0,0,0,0,0,1,1
COL,202021,Male,0,0,0,0,0,1,1
COL,202022,Female,0,0,0,0,0,2,2
COL,202022,Male,0,0,0,0,0,1,1
COL,202023,Female,0,0,0,0,0,2,2
COL,202023,Male,0,0,0,0,0,3,3
COL,202024,Female,0,0,0,0,0,2,2
COL,202024,Male,0,0,0,0,0,1,1
COL,202025,Female,0,0,0,0,0,6,6
COL,202025,Male,0,0,0,0,0,5,5
COL,202026,Female,0,0,0,0,0,12,12
COL,202026,Male,0,0,0,0,0,7,7
COL,202027,Female,0,0,0,0,0,5,5
COL,202027,Male,0,0,0,0,0,2,2
COL,202028,Female,0,0,0,0,0,8,8
COL,202028,Male,0,0,0,0,0,10,10
COL,202029,Female,0,0,0,0,0,5,5
COL,202029,Male,0,0,0,0,0,7,7
COL,202030,Female,0,0,0,0,0,3,3
COL,202030,Male,0,0,0,0,0,2,2
COL,202031,Female,0,0,0,0,0,1,1
COL,202031,Male,0,0,0,0,0,3,3
COL,202032,Female,0,0,0,0,0,8,8
COL,202032,Male,0,0,0,0,0,10,10
COL,202033,Female,0,0,0,0,0,1,1
COL,202033,Male,0,0,0,0,0,1,1
COL,202034,Male,0,0,0,0,0,4,4
COL,202035,Female,0,0,0,0,0,1,1
COL,202036,Female,0,0,0,0,0,2,2
COL,202037,Female,0,0,0,0,0,5,5
COL,202037,Male,0,0,0,0,0,7,7
COL,202038,Female,0,0,0,0,0,1,1
COL,202038,Male,0,0,0,0,0,1,1
COL,202039,Female,0,0,0,0,0,4,4
COL,202040,Female,0,0,0,0,0,1,1
COL,202041,Female,0,0,0,0,0,1,1
COL,202041,Male,0,0,0,0,0,18,18
COL,202042,Male,0,0,0,0,0,3,3
COL,202043,Female,0,0,0,0,0,5,5
COL,202043,Male,0,0,0,0,0,1,1
COL,202044,Female,0,0,0,0,0,2,2
COL,202044,Male,0,0,0,0,0,2,2
COL,202045,Female,0,0,0,0,0,2,2
COL,202045,Male,0,0,0,0,0,1,1
COL,202046,Female,0,0,0,0,0,2,2
COL,202046,Male,0,0,0,0,0,3,3
COL,202047,Female,0,0,0,0,0,2,2
COL,202047,Male,0,0,0,0,0,3,3
COL,202048,Female,0,0,0,0,0,4,4
COL,202048,Male,0,0,0,0,0,1,1
COL,202049,Female,0,0,0,0,0,4,4
COL,202049,Male,0,0,0,0,0,4,4
COL,202050,Female,0,0,0,0,0,3,3
COL,202050,Male,0,0,1,0,0,2,3
COL,202051,Female,0,0,0,0,0,12,12
COL,202051,Male,0,0,0,0,0,10,10
COL,202052,Female,0,0,0,0,0,8,8
COL,202052,Male,0,0,0,0,0,15,15
COL,202053,Female,0,0,1,0,0,24,25
COL,202053,Male,0,0,0,0,0,38,38
COL,202101,Female,0,0,0,0,0,16,16
COL,202101,Male,0,0,0,0,0,26,26
COL,202102,Female,0,0,0,0,0,21,21
COL,202102,Male,0,0,0,0,0,23,23
COL,202103,Female,0,0,0,0,0,16,16
COL,202103,Male,0,0,0,0,0,27,27
COL,202104,Female,0,0,0,0,0,7,7
COL,202104,Male,0,0,0,0,0,11,11
COL,202105,Female,0,0,0,0,0,3,3
COL,202105,Male,0,0,0,0,0,7,7
COL,202106,Female,0,0,1,0,0,6,7
COL,202106,Male,0,0,0,0,0,5,5
COL,202107,Female,1,0,0,0,0,7,8
COL,202107,Male,1,0,1,0,0,4,6
COL,202108,Female,0,0,0,0,0,12,12
COL,202108,Male,1,0,0,0,0,7,8
COL,202109,Female,0,0,0,0,0,28,28
COL,202109,Male,1,0,0,0,0,19,20
COL,202110,Female,0,0,0,0,0,19,19
COL,202110,Male,1,0,0,0,0,26,27
COL,202111,Female,1,0,0,0,0,17,18
COL,202111,Male,1,0,0,0,0,16,17
COL,202112,Female,3,0,0,0,0,16,19
COL,202112,Male,5,0,0,0,0,35,40
COL,202113,Female,3,0,0,0,0,37,40
COL,202113,Male,4,0,0,0,0,44,48
COL,202114,Female,13,0,0,0,0,200,213
COL,202114,Male,22,0,0,0,0,230,252
COL,202115,Female,13,0,0,0,0,140,153
COL,202115,Male,33,0,0,0,0,142,175
COL,202116,Female,4,0,0,0,0,100,104
COL,202116,Male,6,0,0,0,0,100,106
COL,202117,Female,1,0,0,0,0,101,102
COL,202117,Male,6,0,0,0,0,106,112
COL,202118,Female,4,0,0,0,0,79,83
COL,202118,Male,3,0,0,0,0,89,92
COL,202119,Female,1,0,1,0,0,74,76
COL,202119,Male,0,0,0,0,0,90,90
COL,202120,Female,1,0,0,0,0,51,52
COL,202120,Male,2,0,1,0,0,66,69
COL,202121,Female,0,0,0,0,0,29,29
COL,202121,Male,1,0,0,0,0,34,35
COL,202122,Female,0,0,0,0,0,57,57
COL,202122,Male,0,0,1,0,0,46,47
COL,202123,Female,0,0,1,0,0,52,53
COL,202123,Male,0,0,0,0,0,95,95
COL,202124,Female,0,0,0,0,0,50,50
COL,202124,Male,0,0,0,0,0,58,58
COL,202125,Female,0,0,2,0,0,58,60
COL,202125,Male,0,0,2,0,0,55,57
COL,202126,Female,0,0,3,0,0,116,119
COL,202126,Male,0,0,0,0,0,99,99
COL,202127,Female,1,0,4,0,0,107,112
COL,202127,Male,0,0,3,0,0,115,118
COL,202128,Female,0,0,16,0,0,240,256
COL,202128,Male,0,0,16,0,0,208,224
COL,202129,Female,0,0,13,0,0,217,230
COL,202129,Male,0,0,13,0,0,202,215
COL,202130,Female,0,0,16,0,0,178,194
COL,202130,Male,1,0,13,0,0,185,199
COL,202131,Female,1,0,36,0,0,266,303
COL,202131,Male,0,0,48,0,0,249,297
COL,202132,Female,0,0,43,0,0,166,209
COL,202132,Male,1,0,36,0,0,155,192
COL,202133,Female,1,0,72,0,0,150,223
COL,202133,Male,0,0,69,0,0,123,192
COL,202134,Female,0,0,69,0,0,112,181
COL,202134,Male,1,0,66,0,0,102,169
COL,202135,Female,0,0,47,0,0,63,110
COL,202135,Male,0,0,47,0,0,54,101
COL,202136,Female,0,0,67,0,0,40,107
COL,202136,Male,0,0,55,0,0,37,92
COL,202137,Female,0,0,90,0,0,65,155
COL,202137,Male,0,0,87,0,0,53,140
COL,202138,Female,0,0,143,0,0,74,217
COL,202138,Male,0,0,142,0,0,64,206
COL,202139,Female,0,0,186,0,0,67,253
COL,202139,Male,0,0,159,0,0,52,211
COL,202140,Female,0,0,205,0,0,38,243
COL,202140,Male,1,0,176,0,0,44,221
COL,202141,Female,0,0,191,0,0,30,221
COL,202141,Male,0,0,145,0,0,28,173
COL,202142,Female,0,0,155,0,0,32,187
COL,202142,Male,0,0,134,0,0,19,153
COL,202143,Female,0,0,173,0,0,22,195
COL,202143,Male,0,0,122,0,0,17,139
COL,202144,Female,0,0,197,0,0,14,211
COL,202144,Male,0,0,146,0,0,18,164
COL,202145,Female,0,0,151,0,0,23,174
COL,202145,Male,0,0,151,0,0,13,164
COL,202146,Female,0,0,137,0,0,16,153
COL,202146,Male,0,0,103,0,0,4,107
COL,202147,Female,0,0,92,0,0,11,103
COL,202147,Male,0,0,79,0,0,6,85
COL,202148,Female,0,0,90,0,0,10,100
COL,202148,Male,0,0,74,1,0,8,83
COL,202149,Female,0,0,73,3,0,9,85
COL,202149,Male,0,0,49,3,0,3,55
COL,202150,Female,0,0,51,22,0,23,96
COL,202150,Male,0,0,52,13,0,16,81
COL,202151,Female,0,0,23,59,0,36,118
COL,202151,Male,0,0,17,43,0,27,87
COL,202152,Female,0,0,13,111,0,69,193
COL,202152,Male,0,0,13,72,0,62,147
COL,202201,Female,0,0,15,235,0,155,405
COL,202201,Male,0,0,13,189,0,129,331
COL,202202,Female,0,0,7,110,0,67,184
COL,202202,Male,0,0,12,88,0,45,145
COL,202203,Female,0,0,0,62,0,42,104
COL,202203,Male,0,0,1,38,0,50,89
COL,202204,Female,0,0,0,15,0,3,18
COL,202204,Male,0,0,0,4,0,2,6
COL,202205,Female,0,0,0,0,0,1,1
COL,202205,Male,0,0,0,2,0,0,2
