Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
DEU,202005,0,0,0,0,8,8
DEU,202006,0,0,0,0,5,5
DEU,202007,0,0,0,0,3,3
DEU,202009,0,0,0,0,19,19
DEU,202010,0,0,0,0,148,148
DEU,202011,0,0,0,0,309,309
DEU,202012,0,0,0,0,642,642
DEU,202013,0,0,0,0,593,593
DEU,202014,0,0,0,0,244,244
DEU,202015,0,0,0,0,172,172
DEU,202016,0,0,0,0,147,147
DEU,202017,0,0,0,0,115,115
DEU,202018,0,0,0,0,76,76
DEU,202019,0,0,0,0,33,33
DEU,202020,0,0,0,0,36,36
DEU,202021,0,0,0,0,61,61
DEU,202022,0,0,0,0,46,46
DEU,202023,0,0,0,0,38,38
DEU,202024,0,0,0,0,36,36
DEU,202025,0,0,0,0,1375,1375
DEU,202026,0,0,0,0,467,467
DEU,202027,0,0,0,0,37,37
DEU,202028,0,0,0,0,68,68
DEU,202029,0,0,0,0,32,32
DEU,202030,0,0,0,0,19,19
DEU,202031,0,0,0,0,37,37
DEU,202032,0,0,0,0,39,39
DEU,202033,0,0,0,0,84,84
DEU,202034,0,0,0,0,103,103
DEU,202035,0,0,0,0,91,91
DEU,202036,0,0,0,0,52,52
DEU,202037,0,0,0,0,65,65
DEU,202038,0,0,0,0,112,112
DEU,202039,0,0,0,0,199,199
DEU,202040,0,0,0,0,166,166
DEU,202041,0,0,0,0,173,173
DEU,202042,0,0,0,0,200,200
DEU,202043,0,0,0,0,159,159
DEU,202044,0,0,0,0,250,250
DEU,202045,0,0,0,0,271,271
DEU,202046,0,0,0,0,260,260
DEU,202047,0,0,0,0,323,323
DEU,202048,0,0,0,0,334,334
DEU,202049,3,0,0,0,413,416
DEU,202050,2,0,0,0,550,552
DEU,202051,3,0,0,0,440,443
DEU,202052,14,1,0,0,381,396
DEU,202053,12,5,1,0,265,283
DEU,202101,7,2,0,0,493,502
DEU,202102,89,17,0,0,923,1029
DEU,202103,235,10,0,0,1827,2072
DEU,202104,476,15,0,0,2544,3035
DEU,202105,753,43,0,0,2471,3267
DEU,202106,1674,66,0,0,2377,4117
DEU,202107,2492,78,0,0,2425,4995
DEU,202108,2693,115,0,0,2608,5416
DEU,202109,3553,140,0,0,2156,5849
DEU,202110,4965,184,1,0,1679,6829
DEU,202111,6232,155,1,0,1124,7512
DEU,202112,7086,180,3,0,921,8190
DEU,202113,7529,158,0,0,715,8402
DEU,202114,7424,176,10,0,476,8086
DEU,202115,10387,204,17,0,486,11094
DEU,202116,9691,125,56,0,347,10219
DEU,202117,8688,140,74,0,306,9208
DEU,202118,8521,197,164,0,410,9292
DEU,202119,5956,89,115,0,221,6381
DEU,202120,5058,56,198,0,284,5596
DEU,202121,3916,31,191,0,256,4394
DEU,202122,2657,28,310,0,200,3195
DEU,202123,1621,13,447,0,224,2305
DEU,202124,716,14,599,0,133,1462
DEU,202125,389,5,688,0,90,1172
DEU,202126,235,3,927,0,115,1280
DEU,202127,122,2,1164,0,77,1365
DEU,202128,72,2,1554,0,68,1696
DEU,202129,52,0,2782,0,31,2865
DEU,202130,33,3,2602,0,29,2667
DEU,202131,33,0,3434,0,14,3481
DEU,202132,27,0,5188,0,14,5229
DEU,202133,29,0,7404,0,14,7447
DEU,202134,21,0,9671,0,11,9703
DEU,202135,11,7,9833,0,12,9863
DEU,202136,9,1,10775,0,11,10796
DEU,202137,1,0,9243,0,4,9248
DEU,202138,1,0,8654,0,14,8669
DEU,202139,5,0,7107,0,4,7116
DEU,202140,1,0,6763,0,2,6766
DEU,202141,0,0,5497,0,2,5499
DEU,202142,0,0,8170,0,4,8174
DEU,202143,0,0,7543,0,2,7545
DEU,202144,0,0,8623,0,5,8628
DEU,202145,3,3,9762,0,14,9782
DEU,202146,0,0,12015,1,2,12018
DEU,202147,0,1,11600,32,13,11646
DEU,202148,1,0,11633,206,36,11876
DEU,202149,0,0,12301,461,31,12793
DEU,202150,1,0,10549,1560,45,12155
DEU,202151,0,0,7332,2369,105,9806
DEU,202152,0,0,5301,6919,74,12294
DEU,202201,0,0,3829,9434,52,13315
DEU,202202,0,0,1856,9893,70,11819
DEU,202203,0,0,864,12630,58,13552
DEU,202204,0,0,275,11331,14,11620
DEU,202205,0,0,127,14904,9,15040
DEU,202206,0,0,63,16276,10,16349
DEU,202207,0,0,24,12888,3,12915
DEU,202208,0,0,12,7550,5,7567
DEU,202209,0,0,3,4349,97,4449
DEU,202210,0,0,0,58,0,58
