Country,Week,Gender,Alpha,Beta,Delta,Omicron,Other_variants,Total
ISR,202009,Male,0,0,0,0,1,1
ISR,202010,Female,0,0,0,0,1,1
ISR,202010,Male,0,0,0,0,1,1
ISR,202011,Female,0,0,0,0,2,2
ISR,202011,Male,0,0,0,0,1,1
ISR,202012,Female,0,0,0,0,21,21
ISR,202012,Male,0,0,0,0,40,40
ISR,202013,Female,0,0,0,0,23,23
ISR,202013,Male,0,0,0,0,35,35
ISR,202014,Female,0,0,0,0,50,50
ISR,202014,Male,0,0,0,0,46,46
ISR,202015,Female,0,0,0,0,10,10
ISR,202015,Male,0,0,0,0,20,20
ISR,202016,Female,0,0,0,0,16,16
ISR,202016,Male,0,0,0,0,20,20
ISR,202017,Female,0,0,0,0,15,15
ISR,202017,Male,0,0,0,0,9,9
ISR,202018,Female,0,0,0,0,1,1
ISR,202023,Female,0,0,0,0,2,2
ISR,202023,Male,0,0,0,0,15,15
ISR,202024,Male,0,0,0,0,1,1
ISR,202025,Female,0,0,0,0,3,3
ISR,202025,Male,0,0,0,0,3,3
ISR,202026,Female,0,0,0,0,1,1
ISR,202026,Male,0,0,0,0,4,4
ISR,202027,Female,0,0,0,0,4,4
ISR,202027,Male,0,0,0,0,6,6
ISR,202028,Female,0,0,0,0,1,1
ISR,202028,Male,0,0,0,0,1,1
ISR,202029,Female,0,0,0,0,2,2
ISR,202030,Female,0,0,0,0,16,16
ISR,202030,Male,0,0,0,0,23,23
ISR,202031,Female,0,0,0,0,2,2
ISR,202038,Male,0,0,0,0,1,1
ISR,202042,Female,0,0,0,0,1,1
ISR,202049,Female,0,0,0,0,3,3
ISR,202049,Male,0,0,0,0,5,5
ISR,202050,Female,0,0,0,0,7,7
ISR,202050,Male,0,0,0,0,21,21
ISR,202051,Female,1,0,0,0,8,9
ISR,202051,Male,0,0,0,0,11,11
ISR,202052,Female,20,0,0,0,78,98
ISR,202052,Male,7,0,0,0,34,41
ISR,202053,Female,13,0,0,0,137,150
ISR,202053,Male,13,0,0,0,141,154
ISR,202101,Female,0,0,0,0,1,1
