Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
PER,202010,0,0,0,0,0,6,6
PER,202011,0,0,0,0,0,20,20
PER,202012,0,0,0,0,0,37,37
PER,202013,0,0,0,0,0,11,11
PER,202014,0,0,0,0,0,20,20
PER,202015,0,0,0,0,0,16,16
PER,202016,0,0,0,0,0,18,18
PER,202017,0,0,0,0,0,9,9
PER,202018,0,0,0,0,0,7,7
PER,202019,0,0,0,0,0,23,23
PER,202020,0,0,0,0,0,5,5
PER,202021,0,0,0,0,0,3,3
PER,202022,0,0,0,0,0,7,7
PER,202023,0,0,0,0,0,1,1
PER,202024,0,0,0,0,0,7,7
PER,202025,0,0,0,0,0,84,84
PER,202026,0,0,0,0,0,9,9
PER,202027,0,0,0,0,0,25,25
PER,202028,0,0,0,0,0,5,5
PER,202029,0,0,0,0,0,5,5
PER,202030,0,0,0,0,0,5,5
PER,202031,0,0,0,0,0,5,5
PER,202032,0,0,0,0,0,12,12
PER,202033,0,0,0,0,0,4,4
PER,202034,0,0,0,0,0,7,7
PER,202035,0,0,0,0,0,54,54
PER,202036,0,0,0,0,0,31,31
PER,202037,0,0,0,0,0,12,12
PER,202038,0,0,0,0,0,23,23
PER,202039,0,0,0,0,0,9,9
PER,202040,0,0,0,0,0,4,4
PER,202042,0,0,0,0,0,105,105
PER,202043,0,0,0,0,0,22,22
PER,202044,0,0,0,0,0,1,1
PER,202045,0,0,0,0,0,1,1
PER,202046,0,0,0,0,0,2,2
PER,202047,0,0,0,0,0,27,27
PER,202048,0,0,0,0,0,9,9
PER,202049,0,0,0,0,0,27,27
PER,202050,0,0,0,0,0,74,74
PER,202051,0,0,0,0,0,38,38
PER,202052,0,0,0,0,0,24,24
PER,202053,1,0,0,0,0,38,39
PER,202101,0,0,0,0,0,14,14
PER,202102,2,0,0,0,0,15,17
PER,202103,0,0,0,0,0,11,11
PER,202104,0,0,0,0,0,22,22
PER,202105,0,0,0,0,0,64,64
PER,202106,0,0,0,0,0,69,69
PER,202107,0,0,0,0,0,46,46
PER,202108,0,0,0,0,0,42,42
PER,202109,1,0,0,0,0,98,99
PER,202110,2,0,0,0,0,132,134
PER,202111,0,0,0,0,0,101,101
PER,202112,2,0,0,0,0,61,63
PER,202113,5,0,0,0,0,115,120
PER,202114,8,0,0,0,0,295,303
PER,202115,1,0,0,0,0,216,217
PER,202116,0,0,0,0,0,126,126
PER,202117,0,0,0,0,0,174,174
PER,202118,0,0,0,0,0,163,163
PER,202119,2,0,3,0,0,176,181
PER,202120,0,0,0,0,0,181,181
PER,202121,0,0,0,0,0,84,84
PER,202122,0,0,0,0,0,391,391
PER,202123,0,0,3,0,0,382,385
PER,202124,0,0,2,0,0,297,299
PER,202125,0,0,8,0,0,180,188
PER,202126,0,0,2,0,0,169,171
PER,202127,0,0,6,0,0,285,291
PER,202128,0,0,25,0,0,296,321
PER,202129,0,0,26,0,0,242,268
PER,202130,0,0,22,0,0,135,157
PER,202131,0,0,73,0,0,254,327
PER,202132,0,0,73,0,0,313,386
PER,202133,0,0,58,0,0,196,254
PER,202134,0,0,138,0,0,201,339
PER,202135,0,0,110,0,0,150,260
PER,202136,0,0,186,0,0,179,365
PER,202137,0,0,268,0,0,169,437
PER,202138,0,0,294,0,0,147,441
PER,202139,0,0,305,0,0,107,412
PER,202140,0,0,352,0,0,71,423
PER,202141,0,0,377,0,0,29,406
PER,202142,0,0,373,0,0,29,402
PER,202143,0,0,306,0,0,22,328
PER,202144,0,0,366,0,0,21,387
PER,202145,0,0,438,0,0,22,460
PER,202146,0,0,411,0,0,13,424
PER,202147,0,0,368,0,0,9,377
PER,202148,0,0,285,1,0,16,302
PER,202149,0,0,500,1,0,4,505
PER,202150,0,0,389,50,0,15,454
PER,202151,0,0,188,165,0,65,418
PER,202152,0,0,81,70,0,44,195
PER,202201,0,0,118,153,0,118,389
PER,202202,0,0,7,35,0,31,73
PER,202203,0,0,5,3,0,2,10
PER,202204,0,0,0,8,0,13,21
PER,202205,0,0,0,28,2,12,42
