Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
RUS,202010,0,0,0,0,0,1,1
RUS,202011,0,0,0,0,0,12,12
RUS,202012,0,0,0,0,0,22,22
RUS,202013,0,0,0,0,0,34,34
RUS,202014,0,0,0,0,0,53,53
RUS,202015,0,0,0,0,0,44,44
RUS,202016,0,0,0,0,0,29,29
RUS,202017,0,0,0,0,0,60,60
RUS,202018,0,0,0,0,0,35,35
RUS,202019,0,0,0,0,0,26,26
RUS,202020,0,0,0,0,0,58,58
RUS,202021,0,0,0,0,0,44,44
RUS,202022,0,0,0,0,0,67,67
RUS,202023,0,0,0,0,0,55,55
RUS,202024,0,0,0,0,0,41,41
RUS,202025,0,0,0,0,0,24,24
RUS,202026,0,0,0,0,0,19,19
RUS,202027,0,0,0,0,0,17,17
RUS,202028,0,0,0,0,0,26,26
RUS,202029,0,0,0,0,0,50,50
RUS,202030,0,0,0,0,0,28,28
RUS,202031,0,0,0,0,0,13,13
RUS,202032,0,0,0,0,0,33,33
RUS,202033,0,0,0,0,0,26,26
RUS,202034,0,0,0,0,0,23,23
RUS,202035,0,0,0,0,0,51,51
RUS,202036,0,0,0,0,0,44,44
RUS,202037,0,0,0,0,0,84,84
RUS,202038,0,0,0,0,0,80,80
RUS,202039,0,0,0,0,0,142,142
RUS,202040,0,0,0,0,0,109,109
RUS,202041,0,0,0,0,0,113,113
RUS,202042,0,0,0,0,0,94,94
RUS,202043,0,0,0,0,0,19,19
RUS,202044,0,0,0,0,0,17,17
RUS,202045,0,0,0,0,0,72,72
RUS,202046,0,0,0,0,0,166,166
RUS,202047,0,0,0,0,0,103,103
RUS,202048,0,0,0,0,0,63,63
RUS,202049,0,0,0,0,0,61,61
RUS,202050,0,0,0,0,0,42,42
RUS,202051,0,0,0,0,0,145,145
RUS,202052,1,0,0,0,0,141,142
RUS,202053,0,0,0,0,0,82,82
RUS,202101,0,0,0,0,0,64,64
RUS,202102,0,0,0,0,0,49,49
RUS,202103,3,1,0,0,0,43,47
RUS,202104,1,0,0,0,0,16,17
RUS,202105,3,0,0,0,0,35,38
RUS,202106,5,1,0,0,0,99,105
RUS,202107,8,4,0,0,0,237,249
RUS,202108,12,0,0,0,0,132,144
RUS,202109,20,2,2,0,0,97,121
RUS,202110,20,3,0,0,0,149,172
RUS,202111,17,1,0,0,0,83,101
RUS,202112,35,2,1,0,0,61,99
RUS,202113,36,1,0,0,0,95,132
RUS,202114,34,1,2,0,0,109,146
RUS,202115,24,2,2,0,0,119,147
RUS,202116,24,1,8,0,0,120,153
RUS,202117,20,2,15,0,0,86,123
RUS,202118,16,2,18,0,0,63,99
RUS,202119,26,3,61,0,0,78,168
RUS,202120,27,0,141,0,0,65,233
RUS,202121,21,0,196,0,0,60,277
RUS,202122,5,0,167,0,0,28,200
RUS,202123,9,3,623,0,0,53,688
RUS,202124,7,0,289,0,0,16,312
RUS,202125,3,0,240,0,0,13,256
RUS,202126,0,0,165,0,0,4,169
RUS,202127,1,0,490,0,0,10,501
RUS,202128,0,0,129,0,0,5,134
RUS,202129,0,0,68,0,0,5,73
RUS,202130,1,0,107,0,0,9,117
RUS,202131,0,0,92,0,0,11,103
RUS,202132,0,0,81,0,0,8,89
RUS,202133,0,0,59,0,0,4,63
RUS,202134,0,0,70,0,0,0,70
RUS,202135,0,0,133,0,0,1,134
RUS,202136,0,0,192,0,0,5,197
RUS,202137,0,0,189,0,0,5,194
RUS,202138,0,0,149,0,0,0,149
RUS,202139,0,0,213,0,0,3,216
RUS,202140,0,0,155,0,0,2,157
RUS,202141,0,0,465,0,0,0,465
RUS,202142,0,0,273,0,0,4,277
RUS,202143,0,0,468,0,0,9,477
RUS,202144,0,0,231,0,0,4,235
RUS,202145,0,0,298,0,0,2,300
RUS,202146,0,0,208,0,0,1,209
RUS,202147,0,0,30,0,0,0,30
RUS,202148,0,0,90,10,0,2,102
RUS,202149,0,0,91,0,0,1,92
RUS,202150,0,0,111,8,0,37,156
RUS,202151,0,0,52,9,0,55,116
RUS,202152,0,0,91,12,0,16,119
RUS,202201,0,0,73,5,1,7,86
RUS,202202,0,0,68,14,4,54,140
RUS,202203,0,0,27,28,31,87,173
RUS,202204,0,0,0,5,1,13,19
